episode,reward,victims_rescued,coverage_ratio,steps,total_loss,actor_loss,critic_loss,entropy
124,36.85528632690988,1,0.23111111,220,906.608857956875,0.0007341775781242177,906.6081237792969,1.3762553930282593
125,-85.54048198464285,0,0.08444444,225,1330.266885259265,0.00010059129635919817,1330.2667846679688,1.3799302875995636
126,-85.14161906879451,3,0.12,235,1024.9153697379625,-0.00020338215472293086,1024.9155731201172,1.38089320063591
127,33.32309831457227,2,0.20444444,222,870.958617784876,-0.0007175422724685632,870.9593353271484,1.3839859068393707
128,11.279582590585662,1,0.17333333,221,909.2450871752371,-0.000548811090993695,909.2456359863281,1.3834125399589539
129,56.615821577701674,3,0.15111111,219,899.1817681289831,0.00046319734246935695,899.1813049316406,1.3832638561725616
130,31.619553928078314,2,0.16888888,218,881.7319026739642,-1.5660996723454446e-05,881.7319183349609,1.3832804560661316
131,10.982615690603174,2,0.18222222,223,867.7391094868035,0.000980824694124749,867.7381286621094,1.3798813223838806
132,19.225947853013658,3,0.13777778,223,728.4012255452071,-0.00047733565224916674,728.4017028808594,1.3830453753471375
133,-117.34209234736407,0,0.115555555,233,609.8298998709834,-0.0001019600713334512,609.8300018310547,1.38405179977417
134,3.622728241394508,3,0.18666667,226,688.3258122081511,-0.0002528553254705912,688.3260650634766,1.384089857339859
135,32.36492594768379,2,0.16888888,221,662.7828389641363,0.0012685295660048723,662.7815704345703,1.3823421895503998
136,-39.510401589625204,1,0.12444445,225,776.1971294869545,-0.0005481253501784522,776.1976776123047,1.3808622062206268
137,58.50674581681565,3,0.17333333,217,775.4233205288037,-0.0011179477587575093,775.4244384765625,1.3782118558883667
138,20.934573542648636,2,0.16444445,222,638.3077567196433,0.0003684139792312635,638.3073883056641,1.3766918182373047
139,60.471014926982974,3,0.21777777,221,696.6388111434644,0.0003376327222213149,696.6384735107422,1.3798913061618805
140,-115.50311038874463,3,0.12,238,985.674594558579,0.0006443632664741017,985.6739501953125,1.3792465329170227
141,192.96822597300343,6,0.29333332,214,2039.4335725311876,0.0001618866563148913,2039.4334106445312,1.3805414736270905
142,60.17971190880159,3,0.23111111,224,732.8898005386873,-0.000687132211169228,732.8904876708984,1.3820733726024628
143,50.82617014122178,3,0.20888889,224,689.2132276642369,-0.0016466033412143588,689.2148742675781,1.3826197683811188
144,-6.531805309869339,2,0.15555556,225,815.5688800305361,0.0006579846376553178,815.5682220458984,1.3802118003368378
145,6.7345257670533005,1,0.20888889,225,737.5237295865518,-0.0006844759482191876,737.5244140625,1.3807735741138458
146,-96.12209006658925,1,0.093333334,231,921.0556905681333,-0.0002634113589010667,921.0559539794922,1.3784916996955872
147,16.787291673294156,3,0.21333334,225,831.2535764916393,-0.0011384741810616106,831.2547149658203,1.37710040807724
148,144.21485528124617,6,0.23555556,220,805.0194380464382,0.0017836274928413332,805.0176544189453,1.373672366142273
149,96.95421733657047,5,0.23555556,220,688.02748259902,-0.00039520859718322754,688.0278778076172,1.3726903796195984
150,40.855195245246016,2,0.15111111,217,891.5377535646257,-0.0019192869367543608,891.5396728515625,1.3740070164203644
151,75.80540570147237,3,0.22666667,222,987.0855975353043,0.0015216075698845088,987.0840759277344,1.3730265200138092
152,18.857902014025523,2,0.14666666,217,958.8679371251783,0.0012836827954743057,958.8666534423828,1.3760095834732056
153,52.934501936851106,3,0.14222223,216,808.7783603835405,-0.0001277756391573348,808.7784881591797,1.3750808835029602
154,91.64288584178382,3,0.21333334,214,1118.7621260606684,-0.0016678846441209316,1118.7637939453125,1.3792174458503723
155,156.61271806517115,4,0.30222222,216,1131.0070235628227,-0.0008194547554012388,1131.0078430175781,1.3812987506389618
156,28.43596024165005,4,0.16,222,1168.5507763385758,-0.0006457805648096837,1168.5514221191406,1.3826720416545868
157,131.11758241702486,4,0.22222222,211,968.2260783758247,-0.001308098784647882,968.2273864746094,1.3814774751663208
158,-39.380327612099386,1,0.10222222,221,801.5415317229326,0.0005923918779444648,801.5409393310547,1.3824235796928406
159,84.42833680519175,4,0.18666667,218,1015.2723301346596,-0.000237614363868488,1015.2725677490234,1.381335824728012
160,59.45480835942186,2,0.19555555,216,769.6072875312093,-0.0012787529703928158,769.6085662841797,1.379030168056488
161,-1.5987982301135357,2,0.13777778,224,750.7308903924568,0.0004369012458482757,750.7304534912109,1.3753831088542938
162,-4.8894243014081695,3,0.13333334,225,648.2702335692884,-0.0008540771959815174,648.2710876464844,1.3740084767341614
163,154.51985247555876,6,0.23111111,213,944.6545339866134,0.001289968058699742,944.6532440185547,1.3755589723587036
164,67.3173493454359,2,0.18666667,214,789.94719611849,-0.00011528287723194808,789.9473114013672,1.378271609544754
165,-5.44032686099211,2,0.13333334,223,706.1314856561075,-0.0008233038533944637,706.1323089599609,1.3820334374904633
166,58.37188718350505,3,0.2,221,1108.5122743097018,-0.0004515203763730824,1108.5127258300781,1.3783340156078339
167,-45.36338205109366,1,0.15111111,229,566.4211045737839,-0.0009230141067746445,566.4220275878906,1.379071056842804
168,55.68664563331201,4,0.20888889,223,623.354756615292,0.0004017568935523741,623.3543548583984,1.3820764422416687
169,24.706951116965957,1,0.14666666,217,907.558470997747,0.0005333756766958686,907.5579376220703,1.3818962275981903
170,78.95497364754243,3,0.22222222,217,621.5867842069965,3.79911762138363e-05,621.5867462158203,1.3813116550445557
171,28.000479435521864,1,0.13777778,211,561.3427423068497,-0.001419680455001071,561.3441619873047,1.3751728534698486
172,19.009452752512228,2,0.15555556,221,612.5737677929574,-0.002770292980130762,612.5765380859375,1.3685123026371002
173,76.67331240676349,2,0.19555555,213,1038.7846816462115,-0.0018784123822115362,1038.7865600585938,1.3666369318962097
174,201.7802558809438,6,0.2711111,209,862.9605528506618,-0.0007661190647922922,862.9613189697266,1.3684271574020386
175,-28.894475868137686,2,0.16444445,230,795.7594049129129,-0.0005895939229958458,795.7599945068359,1.3750351071357727
176,34.19547298821939,1,0.17777778,220,1021.124790285372,0.0005379660360631533,1021.1242523193359,1.3766688406467438
177,25.28905463794616,5,0.18222222,228,1109.8242627330474,-0.001481895858887583,1109.8257446289062,1.375529706478119
178,15.387466480501594,3,0.18666667,223,1003.3565740154772,0.0004949139147356618,1003.3560791015625,1.3737430572509766
179,62.84635235691387,3,0.25333333,227,1066.6241629809138,7.850825761579472e-05,1066.6240844726562,1.378999650478363
180,17.99705472488687,3,0.08888889,215,679.1402912198118,-0.00018119229753210675,679.1404724121094,1.3811476826667786
181,-29.39213704270838,2,0.15555556,226,719.0582715139899,-0.0010851754632312804,719.0593566894531,1.3805783689022064
182,141.05563053274082,5,0.25777778,215,699.0117396407586,0.0007227950554806739,699.0110168457031,1.3761077225208282
183,61.602344408226976,3,0.22666667,221,2148.086610762919,0.0007342980752582662,2148.0858764648438,1.3688642978668213
184,46.429119423342975,3,0.17333333,217,1299.2951039253385,0.0029286323697306216,1299.2921752929688,1.3691551983356476
185,33.20238824671657,2,0.24,226,1180.2282589294482,0.0029476501513272524,1180.2253112792969,1.3708440363407135
186,41.68160448494801,2,0.16888888,219,1043.6217800917802,0.0041348281083628535,1043.6176452636719,1.3720316886901855
187,194.78647323937258,5,0.26666668,209,,,,
188,101.6983966601976,2,0.23111111,216,,,,
189,-50.4379434623321,2,0.14222223,230,,,,
190,38.36462173552891,2,0.17777778,220,,,,
191,96.84878955847866,3,0.23555556,216,,,,
192,30.068625246777913,2,0.17777778,223,,,,
193,53.187955263135095,2,0.19555555,218,,,,
194,150.88562475534766,4,0.25333333,212,,,,
195,146.5195884828647,4,0.2488889,215,,,,
196,-39.72725158867731,1,0.15555556,228,,,,
197,42.32175900003008,4,0.17777778,221,,,,
198,39.608150865735446,2,0.17333333,218,,,,
199,86.82630011380387,3,0.17333333,211,,,,
200,94.48096693330838,5,0.24,224,,,,
201,19.6253161605867,2,0.16888888,221,,,,
202,231.54059298039886,6,0.29777777,207,,,,
203,127.01544782961791,4,0.23555556,213,,,,
204,145.71587097544642,5,0.2488889,215,,,,
205,119.24201809821534,3,0.25777778,216,,,,
206,54.905661728554975,3,0.22222222,223,,,,
207,36.302920949961134,3,0.14666666,219,,,,
208,63.04916478361628,3,0.22222222,224,,,,
209,114.55989131518305,4,0.2488889,217,,,,
210,131.3853120282607,3,0.29333332,218,,,,
211,46.88342986239224,2,0.18666667,218,,,,
212,194.66315651814992,4,0.29777777,208,,,,
213,92.5525090771703,3,0.26222223,219,,,,
214,65.8133050650769,3,0.14222223,214,,,,
215,100.78989833859049,3,0.18666667,213,,,,
216,173.09224059977632,5,0.2888889,213,,,,
217,133.6696173406308,4,0.22666667,210,,,,
218,52.625347401472546,4,0.18666667,220,,,,
219,66.07437896115786,2,0.18666667,215,,,,
220,206.57764819564684,5,0.29333332,209,,,,
221,151.69273389964167,4,0.2711111,214,,,,
222,48.85494146687687,2,0.16444445,216,,,,
223,64.28164198816401,2,0.22666667,218,,,,
224,24.21134649926394,3,0.18222222,222,,,,
225,-11.783462835709217,2,0.20888889,228,,,,
226,72.48366270978327,3,0.14666666,215,,,,
227,66.97673497244354,3,0.21777777,219,,,,
228,30.192683283880793,2,0.15555556,219,,,,
229,41.1563905891894,2,0.19111112,221,,,,
230,95.35919587899002,2,0.20444444,212,,,,
231,49.43548748534546,1,0.19555555,218,,,,
232,116.53938155092263,4,0.19555555,215,,,,
233,-9.35913941217663,3,0.11111111,221,,,,
234,46.32969924803611,4,0.15555556,221,,,,
235,93.6376407629778,3,0.18222222,215,,,,
236,77.65294907754377,3,0.18666667,215,,,,
237,-24.164690269878715,2,0.13333334,225,,,,
238,2.7007556412859497,2,0.12444445,219,,,,
239,38.17519383540393,3,0.115555555,213,,,,
240,-2.508669778466682,2,0.13777778,221,,,,
241,62.62407046611312,2,0.23111111,218,,,,
242,12.741259528670742,1,0.17333333,219,,,,
243,133.46951869079712,4,0.20888889,209,,,,
244,87.93375294447942,3,0.22666667,217,,,,
245,129.14163612880597,1,0.28444445,211,,,,
246,43.60648061896876,3,0.18222222,222,,,,
247,55.13614478080266,4,0.23111111,224,,,,
248,122.6613565441789,3,0.31111112,217,,,,
249,49.81058169312647,3,0.20444444,223,,,,
250,104.89392639010505,2,0.31111112,220,,,,
251,129.29495040025395,3,0.25777778,215,,,,
252,84.32662856171953,4,0.21777777,218,,,,
253,44.802569801515936,2,0.22666667,221,,,,
254,59.417701117518604,4,0.15111111,217,,,,
255,3.6316968991367746,4,0.18666667,230,,,,
256,146.6394086054614,5,0.24444444,213,,,,
257,107.42010916947125,4,0.24444444,218,,,,
258,-54.7739266473255,1,0.10666667,225,,,,
259,40.97519894329854,3,0.18666667,222,,,,
260,4.065865843637427,4,0.18666667,227,,,,
261,-35.20411518781474,2,0.15555556,228,,,,
262,26.439191453166025,3,0.19555555,223,,,,
263,239.56195659645832,5,0.32,205,,,,
264,53.449681908029085,3,0.14222223,217,,,,
265,269.170243204283,7,0.3288889,207,,,,
266,54.806591067106055,3,0.16444445,216,,,,
267,63.901452683040866,3,0.23555556,219,,,,
268,77.64888143935363,3,0.19111112,217,,,,
269,-20.874364340441858,3,0.12888889,227,,,,
270,101.6242417773302,4,0.22666667,215,,,,
271,17.816558433412176,3,0.13333334,219,,,,
272,-25.803595380967522,2,0.13333334,227,,,,
273,88.36960626036095,4,0.21777777,218,,,,
274,52.56280111499341,3,0.19111112,221,,,,
275,78.2439500168657,3,0.19111112,214,,,,
276,-38.888163324890776,3,0.13333334,226,,,,
277,61.1888768739168,3,0.21333334,217,,,,
278,116.78325164289346,5,0.24444444,218,,,,
279,80.05715438003547,3,0.19111112,213,,,,
280,-8.851789921349713,3,0.13777778,224,,,,
281,22.365386884895372,3,0.19111112,222,,,,
282,97.89266988827106,2,0.23111111,214,,,,
283,9.382555323184787,2,0.15555556,223,,,,
284,-24.5686937357499,1,0.13777778,225,,,,
285,157.4400192699447,5,0.2488889,215,,,,
286,109.04483419885182,3,0.22666667,213,,,,
287,38.27568857758781,2,0.2,220,,,,
288,46.96876500780164,2,0.18222222,220,,,,
289,115.3434402297426,3,0.2,210,,,,
290,0.5651551839706754,2,0.13777778,220,,,,
291,174.93321393308983,5,0.26222223,210,,,,
292,-33.789060164203256,2,0.13333334,224,,,,
293,0.29372709866975955,1,0.12444445,219,,,,
294,65.22344598685196,3,0.22666667,218,,,,
295,-38.583447019174216,2,0.16888888,230,,,,
296,143.42472654082667,6,0.26222223,222,,,,
297,63.07177307287182,2,0.18222222,220,,,,
298,168.89210157644192,3,0.24,207,,,,
299,55.780830694172224,2,0.18222222,217,,,,
300,94.99572338626949,2,0.23111111,214,,,,
301,135.42066714489883,3,0.29777777,218,,,,
302,25.215175229321353,2,0.20888889,223,,,,
303,-15.405946346515135,2,0.16444445,228,,,,
304,99.7979989616549,4,0.23111111,218,,,,
305,-78.20735872280285,1,0.16,232,,,,
306,180.97024526857416,5,0.29333332,211,,,,
307,130.97845458345387,3,0.23555556,212,,,,
308,131.5427892008178,4,0.2488889,215,,,,
309,56.975912469788874,2,0.22666667,220,,,,
310,134.32731327019516,4,0.20444444,212,,,,
311,78.53724944621325,2,0.20888889,217,,,,
312,64.00901092364619,2,0.24,223,,,,
313,68.84327036528911,3,0.18222222,220,,,,
314,43.81523283431413,2,0.16,212,,,,
315,-17.186169396691117,2,0.16888888,228,,,,
316,157.66733108822856,5,0.25777778,213,,,,
317,-75.6816105478363,1,0.08444444,227,,,,
318,33.277009349469544,1,0.18666667,219,,,,
319,89.90019572492106,4,0.21777777,218,,,,
320,127.71767081011582,4,0.25777778,216,,,,
321,-4.654862899972761,3,0.13333334,225,,,,
322,42.23244378033813,3,0.17333333,222,,,,
323,80.65240380889186,4,0.24444444,220,,,,
324,25.5934171591994,3,0.13777778,221,,,,
325,147.82402741724758,3,0.23555556,210,,,,
326,116.31968112401773,5,0.19555555,214,,,,
