episode,step,action,reward,energy_used,mission_time,risk_score,battery,time_left,f2_energy,f3_time,f4_risk
0,15,3,0.7104906062425972,0.3778201415051672,10.078797501848022,6.956604486504043,0.6221798584948329,0.7984240499630397,0.6221798584948328,0.7984240499630395,0.8608679102699192
0,16,3,0.6946535784340703,0.39903823757014706,10.973371500087435,7.376679856294653,0.6009617624298531,0.7805325699982515,0.6009617624298529,0.7805325699982513,0.8524664028741069
0,17,3,0.6778870964528195,0.4311575112194405,11.46230474501977,7.7967552260852635,0.5688424887805597,0.7707539050996048,0.5688424887805594,0.7707539050996046,0.8440648954782948
0,18,3,0.6608656325787631,0.46116556259840574,12.095046387389374,8.216830595875875,0.5388344374015944,0.7580990722522127,0.5388344374015943,0.7580990722522125,0.8356633880824825
0,19,3,0.6460798559708675,0.4856787178526931,12.667179746068737,8.636905965666486,0.5143212821473071,0.7466564050786255,0.5143212821473069,0.7466564050786253,0.8272618806866703
0,20,3,0.6324570665251669,0.5145907931473112,12.844919028402314,9.056981335457097,0.485409206852689,0.743101619431954,0.48540920685268885,0.7431016194319537,0.818860373290858
0,21,1,0.661541063558551,0.544191942705066,13.558142244589376,10.00110108637466,0.4558080572949341,0.7288371551082127,0.455808057294934,0.7288371551082125,0.7999779782725068
0,22,1,0.6539807136664274,0.5519731584409987,14.080690717224464,10.22354431076148,0.44802684155900147,0.7183861856555109,0.4480268415590013,0.7183861856555107,0.7955291137847704
0,23,1,0.5917332282416095,0.5791327350876279,14.337391474228882,10.445987535148298,0.42086726491237225,0.7132521705154226,0.42086726491237214,0.7132521705154223,0.791080249297034
0,24,1,0.5755109104518036,0.609660489433198,15.021908201034424,10.668430759535116,0.3903395105668021,0.6995618359793118,0.39033951056680205,0.6995618359793114,0.7866313848092976
0,25,1,0.5667855189439589,0.6265101382604232,15.265791261463058,10.890873983921935,0.3734898617395768,0.6946841747707391,0.37348986173957677,0.6946841747707388,0.7821825203215613
0,26,1,0.5587008089635462,0.6426331334979308,15.449904772262762,11.113317208308754,0.3573668665020693,0.691001904554745,0.35736686650206917,0.6910019045547448,0.7777336558338249
0,27,1,0.5434927062739795,0.6689161819429704,16.194524529058977,11.335760432695572,0.3310838180570297,0.6761095094188206,0.3310838180570296,0.6761095094188205,0.7732847913460885
0,28,1,0.5255439389586852,0.6991466345491679,17.152873771656427,11.558203657082391,0.3008533654508322,0.6569425245668716,0.3008533654508321,0.6569425245668714,0.7688359268583522
0,29,1,0.5106559756428947,0.7218272529089169,18.029594126650743,11.78064688146921,0.2781727470910832,0.6394081174669853,0.2781727470910831,0.6394081174669852,0.7643870623706158
0,30,1,0.49547891704223174,0.7438222097037365,18.983961852622393,12.003090105856028,0.2561777902962637,0.6203207629475523,0.25617779029626353,0.6203207629475521,0.7599381978828794
0,31,1,0.47797319255305143,0.7765302350807706,19.751976032760908,12.225533330242847,0.22346976491922962,0.604960479344782,0.22346976491922943,0.6049604793447818,0.7554893333951431
0,32,1,0.46480633248570274,0.7943655125223162,20.612797946399123,12.447976554629665,0.20563448747768395,0.5877440410720177,0.20563448747768376,0.5877440410720176,0.7510404689074067
0,33,1,0.4519477624073071,0.8247197542092152,20.801428149426698,12.670419779016484,0.17528024579078505,0.5839714370114663,0.17528024579078483,0.583971437011466,0.7465916044196703
0,34,1,0.44385539014490694,0.8331453369277957,21.37156162847088,12.892863003403303,0.1668546630722045,0.5725687674305826,0.1668546630722043,0.5725687674305824,0.742142739931934
0,35,1,0.4319437463522167,0.8618470284964069,21.500780394557015,13.115306227790121,0.13815297150359324,0.5699843921088599,0.13815297150359307,0.5699843921088596,0.7376938754441975
0,36,1,0.41905176536104644,0.8896703815254625,21.820966667392973,13.33774945217694,0.1103296184745376,0.5635806666521407,0.11032961847453748,0.5635806666521406,0.7332450109564612
