episode,reward,victims_rescued,coverage_ratio,steps,total_loss,actor_loss,critic_loss,entropy
65,61.102410698422005,10,0.28444445,150,4.640007182729039,0.006710145591856225,4.633297037137182,0.258874686434865
66,27.77632798354363,5,0.15555556,150,4.7277915337196506,-0.0007779197644834456,4.728569453484134,0.2627956711344029
67,59.08839712928173,8,0.2488889,150,5.055985050594532,0.02303465713109625,5.032950393463436,0.2552118877831258
68,51.446207640426046,6,0.2488889,150,4.821483723420993,0.005996469598214485,4.815487253822778,0.27130945477830737
69,52.97764820367494,8,0.23111111,150,3.2990549240371605,0.017598268459551036,3.2814566555776095,0.2460964070142884
70,36.098952834838464,7,0.21333334,150,4.3756272905432665,-0.009658573991864136,4.385285864535131,0.2336641085383139
71,13.851460565553788,5,0.16444445,150,4.227820409032957,0.019541490296097964,4.208278918736859,0.24996665571081012
72,61.531684213060394,7,0.21777777,150,5.2272031204560525,0.01670017517723241,5.2105029452788205,0.2383415200012295
73,9.922193139796278,5,0.13777778,150,5.294457489146704,0.0059211593439900565,5.288536329802714,0.21441451362089106
74,34.112751113382416,6,0.21333334,150,5.0864188711979965,0.0073555364506319165,5.079063334747365,0.2085749012859244
75,56.54331681756424,6,0.21777777,150,3.505205096260301,0.013726664094352409,3.491478432165949,0.21242277373216653
76,42.249205108902046,8,0.2,150,4.735310956137255,0.005441105765241541,4.729869850372014,0.19847688029863333
77,55.60745315588214,8,0.23111111,150,4.809681794734819,0.0169818734468304,4.792699921287988,0.21672147659486846
78,29.791957618555507,5,0.13333334,150,4.376634844480769,0.008781388058866324,4.367853456421902,0.19667677012713333
79,67.31623437639448,8,0.25333333,150,4.273037176671144,0.014523978584053876,4.25851319808709,0.1862006024702599
80,68.11048140255309,9,0.29777777,150,4.260492340214306,-0.005467551619451689,4.265959891833757,0.18815968048415685
81,30.940153542528577,7,0.20888889,150,4.754079635377582,-0.0018383960827792947,4.755918031460361,0.19209754535634266
82,30.473087685704975,4,0.11111111,150,6.128120551798737,0.013558727376604159,6.114561824422133,0.19888470508158207
83,24.99377191711843,5,0.16,150,4.568993099088977,0.019790780050434956,4.5492023190385416,0.18895640185004786
84,67.00832544751447,7,0.27555555,150,4.659525282766768,-0.007927083961763665,4.667452366728532,0.19362467404847084
85,65.99286584570038,8,0.27555555,150,4.37596900229906,0.0006284193981340841,4.375340582900925,0.17445136234164238
86,62.01874099345797,5,0.16,150,4.372975093447359,-0.004557769855876502,4.377532863303235,0.20494786698959375
