episode,reward,victims_rescued,coverage_ratio
311,-48.98792467353315,4,0.11111111
312,-55.00481008007891,4,0.10222222
313,-70.57975336816848,2,0.11111111
314,-37.523936932237184,4,0.11111111
315,-44.4014996431108,3,0.14666666
316,-52.5289277428439,2,0.14666666
317,-56.650177965209124,2,0.12444445
318,-90.31179173096129,1,0.07111111
319,-62.00095978564377,2,0.12
320,-85.54544670054476,2,0.057777777
321,-56.024509126492475,2,0.10666667
322,-55.648781145252755,3,0.10666667
323,-70.09892721016713,3,0.115555555
324,-47.6645237613765,3,0.12
325,-39.32628280756009,4,0.11111111
326,-41.83149207787401,4,0.10222222
327,-72.64468508962852,2,0.09777778
328,-67.56470686020138,3,0.08
329,-49.52542357127171,3,0.11111111
330,-70.50990661470823,2,0.08
331,-30.001859763724884,4,0.15555556
332,-57.42569558176582,2,0.08444444
333,-66.85332916212568,1,0.11111111
334,-65.11587730977703,2,0.07111111
335,-58.44716490395741,3,0.10666667
336,-40.56101555927876,3,0.12
337,-21.18791486142939,5,0.12
338,-79.68124832140303,2,0.06666667
339,-52.736885191416874,2,0.12
340,-78.08910495700721,1,0.08888889
341,-90.95981009309038,2,0.04888889
342,-60.00808732609554,2,0.14666666
343,-50.04854819220446,3,0.093333334
344,-49.790843105728506,3,0.13777778
345,-94.35676208081085,1,0.035555556
346,-42.37834378157049,4,0.11111111
347,-54.79965849719645,2,0.14222223
348,-65.32080168338491,1,0.08
349,-60.803637317856186,1,0.14666666
350,-52.71154617134629,2,0.13777778
351,-57.386381656697054,2,0.093333334
352,-68.31192334461429,3,0.10666667
353,-66.81750118286713,2,0.10666667
354,-16.566175709445183,6,0.13333334
355,-58.66923593228492,3,0.115555555
356,-86.23719069778605,2,0.08
357,-89.49421938361117,0,0.08888889
358,-62.157082821603865,1,0.08888889
359,-57.659053675361584,3,0.08888889
360,-71.13412184380911,1,0.08
361,-81.66521083235587,2,0.053333335
362,-89.45222021903213,1,0.057777777
363,-70.18941517321763,2,0.12
364,-34.68474660992983,5,0.13333334
365,-79.76272232388256,1,0.075555556
366,-50.335813258223375,3,0.11111111
367,-41.78537492760763,3,0.10222222
368,-74.60575370217762,3,0.06666667
369,-68.95927471139267,1,0.13777778
370,-67.26148170258813,1,0.11111111
371,-38.37313977108538,4,0.13333334
372,-74.66986224186131,2,0.07111111
373,-30.41316884226236,5,0.115555555
374,-68.69438863977737,3,0.093333334
375,-41.64981986313705,4,0.10222222
376,-52.00397530184033,2,0.09777778
377,-54.6917209609526,3,0.09777778
378,-42.67644800520659,4,0.08888889
379,-62.902891898333515,4,0.10666667
380,-51.275774790039634,3,0.115555555
381,-48.46019979745319,3,0.093333334
382,-75.35941188738161,2,0.075555556
383,-59.780318882274585,3,0.08
384,-44.868906297761335,3,0.115555555
385,-63.07652139658332,3,0.10222222
386,-59.19624283204136,3,0.115555555
387,-80.85373845192892,1,0.075555556
388,-68.48374438849507,2,0.062222224
389,-108.00003519334216,1,0.022222223
390,-73.28029920706568,2,0.075555556
391,-88.43829024100818,1,0.093333334
392,-111.35198081583502,2,0.04888889
393,-19.15094142685169,6,0.13777778
394,-41.960523702210466,4,0.115555555
395,-71.88855971255119,2,0.08888889
396,-40.419910713806495,4,0.10666667
397,-53.940190901189645,2,0.12444445
398,-61.941999111133114,2,0.11111111
399,-38.48105526311326,4,0.13777778
400,-82.3191757585806,0,0.062222224
401,-54.304227891967436,2,0.10666667
402,-65.74994944041069,2,0.08
403,-39.07298242787124,4,0.16
404,-46.78766452287809,3,0.14222223
405,-78.62523729218182,1,0.093333334
406,-61.460384913582295,3,0.12444445
407,-83.3762684159205,0,0.057777777
408,-70.51532713571316,1,0.062222224
409,-46.342397036589574,3,0.07111111
410,-35.24170265786122,4,0.14222223
411,-80.53147223379709,1,0.115555555
412,-49.8128715683483,3,0.12888889
413,-79.78300175724132,2,0.08444444
414,-83.24898399607444,1,0.08
415,-52.48965582865727,3,0.12444445
416,-56.155457647998645,2,0.115555555
417,-82.1245870028544,2,0.057777777
418,-75.1026914111749,2,0.12
419,-62.557751211487,2,0.093333334
420,-47.542656555719056,3,0.11111111
421,-48.51860888329097,2,0.115555555
422,-41.09584732679282,3,0.12888889
423,-51.80816092167799,2,0.115555555
424,-74.88752646696831,1,0.093333334
425,-71.07296091774272,2,0.08444444
426,-61.217358871118556,2,0.075555556
427,-52.51079396438019,3,0.093333334
428,-70.67969629410577,1,0.14666666
429,-75.26897992033145,1,0.10222222
430,-69.38336002531821,2,0.075555556
431,-60.714414397133545,2,0.11111111
432,-65.08727633053518,2,0.07111111
433,-38.4560241127203,4,0.08888889
434,-71.93534728731838,1,0.09777778
435,-45.56805704352632,3,0.115555555
436,-30.41993999052167,4,0.10222222
437,-63.09853395060167,2,0.10666667
438,-73.77010438771491,1,0.06666667
439,-56.6345376533738,3,0.11111111
440,-96.5740290472781,1,0.062222224
441,-43.86349741389832,4,0.12444445
442,-70.84750115163602,1,0.12444445
443,-60.89004276834115,2,0.11111111
444,-57.87847870469568,2,0.115555555
445,-55.73391554236022,3,0.11111111
446,-39.51526968717684,3,0.09777778
447,-37.45836631591467,4,0.115555555
448,-46.85970294588042,3,0.16444445
449,-58.80761468187352,3,0.13777778
450,-103.15259328122323,1,0.026666667
451,-45.656111100740105,3,0.16
452,-33.92147984274972,4,0.13333334
453,-84.07840648040661,1,0.09777778
454,-51.043939051801445,3,0.08
455,-67.95565849871028,1,0.053333335
456,-81.1163987376719,1,0.057777777
457,-32.10172272964937,4,0.16
458,-41.90381313799218,3,0.12444445
459,-28.477350674647802,4,0.10222222
460,-26.1779262223668,5,0.16444445
461,-37.169439622490394,4,0.12888889
462,-61.545182676702,2,0.08444444
463,-64.44567837737891,1,0.093333334
464,-39.49254299662587,4,0.093333334
465,-58.94266715425742,2,0.08888889
466,-59.01459069791599,3,0.08444444
467,-71.47809976696416,1,0.10666667
468,-33.71281347403453,4,0.10666667
469,-61.252434055151724,2,0.07111111
470,-47.154528878827044,3,0.10222222
471,-49.11210722953144,3,0.13777778
472,-32.10687427902469,4,0.12
473,-55.06253793110286,3,0.10222222
474,-67.29876110556631,2,0.09777778
475,-73.18835640240096,2,0.062222224
476,-49.71928166714938,2,0.075555556
477,-47.10329541539759,3,0.12888889
478,-58.40752241011187,3,0.10222222
479,-59.34776998325879,2,0.09777778
480,-62.722069440565065,1,0.093333334
481,-65.67319634516656,2,0.075555556
482,-104.56934198469848,1,0.031111112
483,-44.999739982967405,4,0.10222222
484,-53.85083529745106,2,0.10666667
485,-38.86092344495598,4,0.10666667
486,-52.85237210603673,2,0.13333334
487,-60.30851580618951,2,0.13333334
488,-58.89451351995821,3,0.07111111
489,-49.2323799589691,3,0.10222222
490,-70.13580825769074,1,0.13777778
491,-22.953006894379527,5,0.13777778
492,-65.4194606916524,2,0.10666667
493,-62.997484508538385,1,0.10222222
494,-46.662482923710094,3,0.15111111
495,-42.54246096194431,5,0.11111111
496,-44.225357538845536,3,0.15111111
497,-32.527485113519134,4,0.115555555
498,-47.72805276263572,3,0.16
499,-53.07897482589305,3,0.115555555
500,-5.228243404321744,6,0.115555555
501,-52.07248914030817,3,0.12888889
502,-68.21768826810165,2,0.09777778
503,-41.0918417103399,3,0.10222222
504,-33.93119094964121,4,0.14666666
505,-58.52954805182827,2,0.12444445
506,-42.23516267715806,4,0.12888889
507,-52.876520468135475,2,0.12
508,-47.06866330072891,3,0.08
509,-64.85333543961204,2,0.06666667
510,-64.76896732345239,2,0.10666667
511,-55.834102182310524,2,0.15111111
512,-90.05410705911821,2,0.08444444
513,-54.28285553461282,2,0.11111111
514,-55.63197073447546,3,0.08
515,-48.5378032936131,3,0.14222223
516,-72.0840881904094,2,0.10222222
517,-45.22708772318424,4,0.10222222
518,-126.97197164036616,1,0.022222223
519,-55.157358406506695,3,0.115555555
520,-75.61324672860336,1,0.10222222
521,-73.58628895187347,0,0.08
522,-43.158748109104096,4,0.13777778
523,-86.20946609361381,1,0.053333335
524,-67.18810163009815,2,0.10222222
525,-46.419562650723975,3,0.08888889
526,-54.45116186375645,4,0.093333334
527,-83.8395598965671,2,0.08888889
528,-46.611172931600365,4,0.075555556
529,-52.794653970761665,2,0.10222222
530,-48.288305495629416,3,0.12
531,-74.1365520536364,2,0.062222224
532,-52.68652389504698,2,0.14666666
533,-67.99674013127164,1,0.08888889
534,-43.8197051208158,3,0.08888889
535,-44.19114592397779,3,0.09777778
536,-69.43290142741866,2,0.07111111
537,-65.87365081169607,2,0.115555555
538,-55.89788209921507,3,0.13333334
539,-43.70627130168134,3,0.12
540,-67.05826828918384,2,0.09777778
541,-62.215262302771414,3,0.10222222
542,-72.49238144339435,1,0.075555556
543,-42.668410684218195,3,0.12888889
544,-50.75933966050089,3,0.075555556
545,-79.60346246473603,1,0.057777777
546,-44.35733736030197,4,0.10222222
547,-62.713917527968796,3,0.08
548,-55.027315350220626,2,0.13777778
549,-52.56437477196763,3,0.093333334
550,-78.44279868648192,2,0.093333334
551,-63.903113753853596,2,0.11111111
552,-48.78536815247178,3,0.12
553,-69.89250493457777,1,0.093333334
554,-46.94814557176175,3,0.10666667
555,-73.04829653733094,2,0.08444444
556,-66.04374970743561,2,0.115555555
557,-53.77551019424477,3,0.06666667
558,-75.52640893671006,1,0.062222224
559,-33.52442091045585,4,0.12888889
